Removed Pin From Net: NetName=NetB1_7 Pin=TP16-1
Removed Pin From Net: NetName=NetB1_9 Pin=TP17-1
Removed Pin From Net: NetName=NetB1_8 Pin=TP18-1
Removed Pin From Net: NetName=NetB1_6 Pin=TP20-1
Removed Pin From Net: NetName=NetB1_6 Pin=U1-5
Removed Pin From Net: NetName=NetB1_8 Pin=U1-6
Removed Pin From Net: NetName=NetB1_9 Pin=U1-7
Removed Pin From Net: NetName=NetB1_7 Pin=U1-8
Removed Pin From Net: NetName=GND Pin=U?-1
Removed Pin From Net: NetName=3V3 Pin=U?-2
Removed Pin From Net: NetName=12V Pin=U?-3
Removed Pin From Net: NetName=3V3 Pin=U?-4
Removed Pin From Net: NetName=GND Pin=U?-4
Removed Pin From Net: NetName=12V Pin=U?-8
Change Component Footprint: Designator=U? Old Footprint=MSOP-MS8_N New Footprint=FP-AMS1117-IPC_C
Change Component Comment : Designator=U? Old Comment=MCP6042-E/MS New Comment=AMS1117-3.3
Change Managed Component Library Link : Designator=U? Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=D8595003-EEC4-4A3F-AF44-3E1E56803A97 New ItemGUID=A235AA21-9D40-41CE-AFD5-ED190622537A Old RevisionGUID=DFF93033-32B3-40E9-A8B6-1425CBAC12BD New RevisionGUID=3D147F22-7269-42D2-A886-FBED816C16F3
Change component parameters: Designator = "U?" ("U?"); Footprint = "MSOP-MS8_N"; UniqueID = "\KHKEEMOE\ARMLDAKB" ("\KHKEEMOE\ARMLDAKB")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "IC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.advanced-monolithic.com/pdf/ds1117.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Power Management ICs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Voltage Regulators - Linear"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dropout Voltage"; Value = "1.1V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "SOT229P700X180-4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Advanced Monolithic Systems"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "AMS1117-3.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Junction Temp"; Value = "+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "1.2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Supply Current"; Value = "5mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Outputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/ams1117-3.3-advanced+monolithic+systems-25899300"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Type"; Value = "Fixed"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Voltage"; Value = "3.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "AMS1117"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standoff Height"; Value = "0.64mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-40°C to +125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Added Component: Designator=IC?(SOP65P638X110-24N)
Add component (AddParameter): Name = "Arrow Part Number"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://www.st.com/resource/en/datasheet/cd00005085.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "STP16C596ATTR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "N/A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STP16C596ATTR?qs=y2Ae8b0edtM6tyumk2sS7g%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=Q?(STM-TO-220A-3)
Add component (AddParameter): Name = "Category"; Value = "PowerMOSFET"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Channel Mode"; Value = "Enhancement"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Channel Type"; Value = "N"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.st.com/content/ccc/resource/technical/document/datasheet/f1/46/49/9e/39/8f/49/aa/CD00002670.pdf/files/CD00002670.pdf/jcr:content/translations/en.CD00002670.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Rev. 8, 10/2006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions"; Value = "10.4x4.6x9.15mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "9.15mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "10.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.st.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum Continuous Drain Current"; Value = "80A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum Drain Source Resistance"; Value = "0.007O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum Drain Source Voltage"; Value = "55V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum Gate Source Voltage"; Value = "±20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum Gate Threshold Voltage"; Value = "4V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum Operating Temperature"; Value = "+175°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum Power Dissipation"; Value = "300W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Gate Threshold Voltage"; Value = "2V"; VariantName = "[No Variations]"
